feat,label_freesurfer(Full name),sMRI thickness,sMRI volume
L.SFG,ctx-lh-superiorfrontal,lh_superiorfrontal_thickness._.5,lh_superiorfrontal_volume._.7
R.SPG,ctx-rh-superiorparietal,rh_superiorparietal_thickness._.6,rh_superiorparietal_volume._.8
R.CA,Right-Caudate,,Right.Caudate._.9
L.ITG,ctx-lh-inferiortemporal,lh_inferiortemporal_thickness._.5,lh_inferiortemporal_volume._.7
R.IN,ctx-rh-insula,rh_insula_thickness._.6,rh_insula_volume._.8
R.RACG,ctx-rh-rostralanteriorcingulate,rh_rostralanteriorcingulate_thickness._.6,rh_rostralanteriorcingulate_volume._.8
R.SMG,ctx-rh-supramarginal,rh_supramarginal_thickness._.6,rh_supramarginal_volume._.8
R.EC,ctx-rh-entorhinal,rh_entorhinal_thickness._.6,rh_entorhinal_volume._.8
L.FG,ctx-lh-fusiform,lh_fusiform_thickness._.5,lh_fusiform_volume._.7
R.STG,ctx-rh-superiortemporal,rh_superiortemporal_thickness._.6,rh_superiortemporal_volume._.8
L.MTG,ctx-lh-middletemporal,lh_middletemporal_thickness._.5,lh_middletemporal_volume._.7
R.BSTS,ctx-rh-bankssts,rh_bankssts_thickness._.6,rh_bankssts_volume._.8
R.IPG,ctx-rh-inferiorparietal,rh_inferiorparietal_thickness._.6,rh_inferiorparietal_volume._.8
R.FG,ctx-rh-fusiform,rh_fusiform_thickness._.6,rh_fusiform_volume._.8
R.CACG,ctx-rh-caudalanteriorcingulate,rh_caudalanteriorcingulate_thickness._.6,rh_caudalanteriorcingulate_volume._.8
R.ITG,ctx-rh-inferiortemporal,rh_inferiortemporal_thickness._.6,rh_inferiortemporal_volume._.8
L.CER,Left-Cerebellum-Cortex,,Left.Cerebellum.Cortex._.9
L.CMFG,ctx-lh-caudalmiddlefrontal,lh_caudalmiddlefrontal_thickness._.5,lh_caudalmiddlefrontal_volume._.7
L.BSTS,ctx-lh-bankssts,lh_bankssts_thickness._.5,lh_bankssts_volume._.7
L.AC,Left-Accumbens-area,,Left.Accumbens.area._.9
R.PA,Right-Pallidum,,Right.Pallidum._.9
L.HI,Left-Hippocampus,,Left.Hippocampus._.9
L.STG,ctx-lh-superiortemporal,lh_superiortemporal_thickness._.5,lh_superiortemporal_volume._.7
L.RACG,ctx-lh-rostralanteriorcingulate,lh_rostralanteriorcingulate_thickness._.5,lh_rostralanteriorcingulate_volume._.7
R.MTG,ctx-rh-middletemporal,rh_middletemporal_thickness._.6,rh_middletemporal_volume._.8
L.AM,Left-Amygdala,,Left.Amygdala._.9
R.CMFG,ctx-rh-caudalmiddlefrontal,rh_caudalmiddlefrontal_thickness._.6,rh_caudalmiddlefrontal_volume._.8
R.PCAL,ctx-rh-pericalcarine,rh_pericalcarine_thickness._.6,rh_pericalcarine_volume._.8
R.PHIG,ctx-rh-parahippocampal,rh_parahippocampal_thickness._.6,rh_parahippocampal_volume._.8
L.CA,Left-Caudate,,Left.Caudate._.9
R.PoCG,ctx-rh-postcentral,rh_postcentral_thickness._.6,rh_postcentral_volume._.8
L.POP,ctx-lh-parsopercularis,lh_parsopercularis_thickness._.5,lh_parsopercularis_volume._.7
R.LG,ctx-rh-lingual,rh_lingual_thickness._.6,rh_lingual_volume._.8
L.LOG,ctx-lh-lateraloccipital,lh_lateraloccipital_thickness._.5,lh_lateraloccipital_volume._.7
L.ICG,ctx-lh-isthmuscingulate,lh_isthmuscingulate_thickness._.5,lh_isthmuscingulate_volume._.7
L.PTR,ctx-lh-parstriangularis,lh_parstriangularis_thickness._.5,lh_parstriangularis_volume._.7
L.RMFG,ctx-lh-rostralmiddlefrontal,lh_rostralmiddlefrontal_thickness._.5,lh_rostralmiddlefrontal_volume._.7
L.PoCG,ctx-lh-postcentral,lh_postcentral_thickness._.5,lh_postcentral_volume._.7
R.RMFG,ctx-rh-rostralmiddlefrontal,rh_rostralmiddlefrontal_thickness._.6,rh_rostralmiddlefrontal_volume._.8
L.TTG,ctx-lh-transversetemporal,lh_transversetemporal_thickness._.5,lh_transversetemporal_volume._.7
R.AM,Right-Amygdala,,Right.Amygdala._.9
L.PrCG,ctx-lh-precentral,lh_precentral_thickness._.5,lh_precentral_volume._.7
L.PA,Left-Pallidum,,Left.Pallidum._.9
R.MOFG,ctx-rh-medialorbitofrontal,rh_medialorbitofrontal_thickness._.6,rh_medialorbitofrontal_volume._.8
R.PrCG,ctx-rh-precentral,rh_precentral_thickness._.6,rh_precentral_volume._.8
R.LOG,ctx-rh-lateraloccipital,rh_lateraloccipital_thickness._.6,rh_lateraloccipital_volume._.8
R.PTR,ctx-rh-parstriangularis,rh_parstriangularis_thickness._.6,rh_parstriangularis_volume._.8
R.TH,Right-Thalamus-Proper,,
R.HI,Right-Hippocampus,,Right.Hippocampus._.9
L.PCAL,ctx-lh-pericalcarine,lh_pericalcarine_thickness._.5,lh_pericalcarine_volume._.7
L.TH,Left-Thalamus-Proper,,
L.PHIG,ctx-lh-parahippocampal,lh_parahippocampal_thickness._.5,lh_parahippocampal_volume._.7
L.TP,ctx-lh-temporalpole,lh_temporalpole_thickness._.5,lh_temporalpole_volume._.7
R.PCU,ctx-rh-precuneus,rh_precuneus_thickness._.6,rh_precuneus_volume._.8
R.TTG,ctx-rh-transversetemporal,rh_transversetemporal_thickness._.6,rh_transversetemporal_volume._.8
R.PCG,ctx-rh-posteriorcingulate,rh_posteriorcingulate_thickness._.6,rh_posteriorcingulate_volume._.8
L.FP,ctx-lh-frontalpole,lh_frontalpole_thickness._.5,lh_frontalpole_volume._.7
L.SPG,ctx-lh-superiorparietal,lh_superiorparietal_thickness._.5,lh_superiorparietal_volume._.7
L.PCU,ctx-lh-precuneus,lh_precuneus_thickness._.5,lh_precuneus_volume._.7
R.POR,ctx-rh-parsorbitalis,rh_parsopercularis_thickness._.6,rh_parsopercularis_volume._.8
R.PaCG,ctx-rh-paracentral,rh_paracentral_thickness._.6,rh_paracentral_volume._.8
R.TP,ctx-rh-temporalpole,rh_temporalpole_thickness._.6,rh_temporalpole_volume._.8
L.IPG,ctx-lh-inferiorparietal,lh_inferiorparietal_thickness._.5,lh_inferiorparietal_volume._.7
R.AC,Right-Accumbens-area,,Right.Accumbens.area._.9
R.PU,Right-Putamen,,Right.Putamen._.9
L.IN,ctx-lh-insula,lh_insula_thickness._.5,lh_insula_volume._.7
R.CU,ctx-rh-cuneus,rh_cuneus_thickness._.6,rh_cuneus_volume._.8
L.POR,ctx-lh-parsorbitalis,lh_parsorbitalis_thickness._.5,lh_parsorbitalis_volume._.7
L.SMG,ctx-lh-supramarginal,lh_supramarginal_thickness._.5,lh_supramarginal_volume._.7
R.LOFG,ctx-rh-lateralorbitofrontal,rh_lateralorbitofrontal_thickness._.6,rh_lateralorbitofrontal_volume._.8
R.POP,ctx-rh-parsopercularis,rh_parsopercularis_thickness._.6,rh_parsopercularis_volume._.8
R.SFG,ctx-rh-superiorfrontal,rh_superiorfrontal_thickness._.6,rh_superiorfrontal_volume._.8
L.LG,ctx-lh-lingual,lh_lingual_thickness._.5,lh_lingual_volume._.7
L.PU,Left-Putamen,,Left.Putamen._.9
L.LOFG,ctx-lh-lateralorbitofrontal,lh_lateralorbitofrontal_thickness._.5,lh_lateralorbitofrontal_volume._.7
R.FP,ctx-rh-frontalpole,rh_frontalpole_thickness._.6,rh_frontalpole_volume._.8
L.EC,ctx-lh-entorhinal,lh_entorhinal_thickness._.5,lh_entorhinal_volume._.7
L.CU,ctx-lh-cuneus,lh_cuneus_thickness._.5,lh_cuneus_volume._.7
L.PaCG,ctx-lh-paracentral,lh_paracentral_thickness._.5,lh_paracentral_volume._.7
L.PCG,ctx-lh-posteriorcingulate,lh_posteriorcingulate_thickness._.5,lh_posteriorcingulate_volume._.7
L.MOFG,ctx-lh-medialorbitofrontal,lh_medialorbitofrontal_thickness._.5,lh_medialorbitofrontal_volume._.7
R.ICG,ctx-rh-isthmuscingulate,rh_isthmuscingulate_thickness._.6,rh_isthmuscingulate_volume._.8
R.CER,Right-Cerebellum-Cortex,,Right.Cerebellum.Cortex._.9
L.CACG,ctx-lh-caudalanteriorcingulate,lh_caudalanteriorcingulate_thickness._.5,lh_caudalanteriorcingulate_volume._.7
